name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,[],Delivery,Banashankari
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,[],Delivery,Banashankari
Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian","1,000",[],Delivery,Banashankari
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,Quick Bites,Andhra,400,[],Delivery,Banashankari
New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,[],Delivery,Banashankari
The Grillo,Yes,Yes,2.8,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,[],Delivery,Banashankari
Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,South Indian,400,[],Delivery,Banashankari
Karma Kaapi,Yes,No,4.4,181,Jayanagar,Beverage Shop,"Beverages, Tea",250,[],Delivery,Banashankari
Tiwari's,Yes,No,3.8,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,[],Delivery,Banashankari
Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,[],Delivery,Banashankari
Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650,[],Delivery,Banashankari
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,[],Delivery,Banashankari
Kollapuri's,No,No,3.9,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,[],Delivery,Banashankari
Kadamba Classic,No,No,3.6,16,Mysore Road,Quick Bites,South Indian,300,[],Delivery,Banashankari
RS Shiv Sagar,No,No,3.7,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,[],Delivery,Banashankari
Kholi Mane,No,No,3.6,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,[],Delivery,Banashankari
Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,[],Delivery,Banashankari
Cake Yard,No,No,3.4,30,Basavanagudi,Dessert Parlor,Desserts,250,[],Delivery,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,[],Delivery,Banashankari
Sri Udupi Veg,No,No,3.3,4,Jayanagar,Quick Bites,South Indian,250,[],Delivery,Banashankari
Cake Art,No,No,3.5,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400,[],Delivery,Banashankari
Potato House,Yes,No,3.4,9,Uttarahalli,Quick Bites,Street Food,200,[],Delivery,Banashankari
Matru Sagar,Yes,No,3.7,31,Mysore Road,Quick Bites,"South Indian, North Indian",300,"['2 Rice Idli', 'Rava Idli', 'Vada', 'Plain Dosa', 'Butter Plain Dosa', 'Masala Dosa', 'Set Dosa', 'Onion Dosa', 'Butter Plain Dosa', 'Butter Masala Dosa', 'Paper Plain Dosa', 'Paper Masala Dosa', 'Open Dosa', 'Onion Rava Dosa', 'Rava Dosa', 'Onion Rava Masala Dosa', 'Kesari Bath', 'Kara Bath', 'Chow Chow Bath', 'Rice Idly', 'Rava Idly', 'Vada', 'Plain Dosa', 'Butter Plain Dosa', 'Masala Dosa', 'Set Dosa', 'Onion Dosa', 'Butter Masala Dosa', 'Paper Plain Dosa', 'Paper Masala Dosa', 'Open Dosa', 'Onion Rava Dosa', 'Rava Dosa', 'Onion Rava Masala Dosa', 'Parota Korma', 'Curd Vada', '3 Puri Bhaji', 'Bonda Soup', 'Curd Vada', 'Rasgulla', 'Bengali Sweet', 'Jamoon', 'Carrot Halwa', 'Poori Bhaaji [3 Pieces]']",Delivery,Banashankari
Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",250,[],Delivery,Banashankari
In Time Cane Juice,Yes,No,3.5,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100,"['Lime Sugar Cane [250 ml]', 'Mosambi Juice', 'Watermelon Juice', 'Pineapple Juice', 'Lime Sugar Cane [250 ml]', 'Mosambi Juice', 'Watermelon Juice', 'Pineapple Juice', 'Chikku Milk Shake', 'Oreo Milk Shake', 'Mineral Water [1 litre]']",Delivery,Banashankari
Subway,Yes,No,3.7,136,Banashankari,Quick Bites,"Salad, Fast Food",600,[],Delivery,Banashankari
Daal Roti,Yes,No,2.9,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,[],Delivery,Banashankari
The Lassi Park,Yes,No,4.1,185,Jayanagar,Quick Bites,"Juices, Desserts",200,[],Delivery,Banashankari
Cafe Coffee Day,Yes,No,3.2,17,Jayanagar,Cafe,"Cafe, Fast Food",900,[],Delivery,Banashankari
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,[],Delivery,Banashankari
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,"['Kerala Paratha with Kurma', 'Idly', 'Masala Dosa', 'Butter Masala Dosa', 'Rava Idly', 'Kerala Paratha with Kurma', 'Coffee', 'Tea', 'Hot Badam Milk', 'Idly', 'Curd Rice', 'Bajji', 'Set Dosa', 'Masala Dosa', 'Plain Dosa', 'Butter Masala Dosa', 'Butter Plain Dosa', 'Onion Uttapam', 'Open Butter Masala Dosa', 'Ghee', 'Butter', 'Gadbad Ice Cream', 'Titanic Special Ice Cream', 'Honeymoon Special Ice Cream', 'SKB Special Ice Cream', 'Fruit Salad', 'Fruit Salad with Ice Cream', 'Jamun with Ice Cream', 'Vanilla Ice Cream', 'Chocolate Ice Cream', 'Pista Ice Cream', 'Strawberry Ice Cream', 'Butterscotch Ice Cream', 'Mango Ice Cream', 'Mosambi Juice', 'Orange Juice', 'Mango Juice', 'Grape Juice', 'Pineapple Juice', 'Lemon Juice', 'Watermelon Juice', 'Apple Milkshake', 'Sapota Milkshake', 'Mango Milkshake', 'Cold Badami Milkshake', 'Sweet Lassi', 'Salt Lassi', 'Vanilla Ice Cream Milkshake', 'Chocolate Ice Cream Milkshake', 'Pista Ice Cream Milkshake', 'Strawberry Ice Cream Milkshake', 'Butterscotch Ice Cream Milkshake', 'Mango Ice Cream Milkshake']",Delivery,Banashankari
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600,[],Delivery,Banashankari
Green Gardenia,Yes,No,3.8,160,Banashankari,Casual Dining,"North Indian, Chinese",700,[],Delivery,Banashankari
J Spice,Yes,No,3.8,59,Banashankari,Casual Dining,"North Indian, Chinese",750,[],Delivery,Banashankari
Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,[],Delivery,Banashankari
Karavali Lunch Home,Yes,No,3.7,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350,[],Delivery,Banashankari
Hatti Kaapi,Yes,No,4.0,89,Jayanagar,Quick Bites,"South Indian, Beverages",200,[],Delivery,Banashankari
Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,Quick Bites,"Fast Food, Rolls",250,[],Delivery,Banashankari
Upahara Darshini,Yes,No,3.9,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,[],Delivery,Banashankari
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Quick Bites,Fast Food,200,[],Delivery,Banashankari
Anda Ka Funda,Yes,No,3.4,89,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250,[],Delivery,Banashankari
Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,[],Delivery,Banashankari
My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,[],Delivery,Banashankari
Ibaco,Yes,No,3.9,33,Jayanagar,Dessert Parlor,Desserts,300,[],Delivery,Banashankari
Jalaram Sweets,Yes,No,3.8,32,Jayanagar,Sweet Shop,"Desserts, Mithai",250,[],Delivery,Banashankari
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,[],Delivery,Banashankari
Bendakaluru Bytes,Yes,No,3.2,154,Vijay Nagar,Quick Bites,Fast Food,300,[],Delivery,Banashankari
Cocoa Bakes,Yes,No,3.6,14,Banashankari,Bakery,"Bakery, Desserts",350,[],Delivery,Banashankari
Chumma Delicious,Yes,No,3.7,237,Banashankari,Quick Bites,"South Indian, Fast Food",200,"['Masala Dosa', 'Idly Combo', 'Masala Dosa', 'Plain Dosa', 'Onion Dosa', 'Podi Dosa', 'Set Dosa', 'Khali Dosa', 'Paper Ghee Roast', 'Idly Combo']",Delivery,Banashankari
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,[],Delivery,Banashankari
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,"['2 Idli', 'Idli Vada', 'Poori Saagu', 'Rice Bath', 'Akki Roti', 'Raagi Roti', 'Sweet Kadubu', 'Kotte Kadubu', 'Set Dosa', 'Masala Dosa', 'Mysore Masala Dosa', 'Onion Dosa', 'Cheese Masala Dosa', 'Veg Sandwich', 'Fruit Sandwich', 'Veg Cheese Sandwich', 'Paneer Veg Sandwich', 'Bread Butter Jam', 'Mushroom Sandwich', 'Mushroom Cheese Sandwich', 'Veg Grilled Sandwich', 'Veg Cheese Grilled Sandwich', '2 Idli', 'Vada', 'Idli Vada', 'Ghee Idli Sambar', 'Single Idli Vada', 'Rava Idli', 'Khara Bath', 'Kesari Bath', 'Chow Chow Bath', 'Curd Vada', 'Poori Saagu', 'Rice Bath', 'Uddin Vada', 'Curd Rice', 'Bajji', 'Pakoda', 'Mangalore Buns', 'Rava Onion Masala Dosa', 'Akki Roti', 'Raagi Roti', 'Masala Roti', 'Sweet Kadubu', 'Kotte Kadubu', 'Set Dosa', 'Plain Dosa', 'Masala Dosa', 'Mysore Masala Dosa', 'Rava Dosa', 'Onion Dosa', 'Rava Masala Dosa', 'Paper Masala Dosa', 'Paper Plain Dosa', 'Butter Plain Dosa', 'Cheese Masala Dosa', 'Open Butter Masala Dosa', 'Paneer Masala Dosa', 'Neer Dosa', 'Onion Masala Dosa', 'Rava Onion Masala Dosa', 'Rava Onion Dosa', 'Medu Dosa', 'Jamoon', 'Halwa', 'Rasmalai', 'Basundi', 'Fruit Bowl', 'Gud Bud', 'Raja Rani', 'Silver Queen', 'Honeymoon Special', 'My Dream', 'My Darling', 'Double Sundae', 'Triple Sundae', 'Banana Split', 'Vanilla Nut Sundae', 'Chocolate Nut Sundae', 'Nut Sundae', 'Hot Chocolate Fudge', 'Wedding Special', 'Special Double', 'Fruit Salad', 'Fruit Sundae', 'Nut Sundae Chocolate Nut', 'Fruit Salad with Ice Cream', 'Two in One', 'Dry Fruit Ice Cream', 'Vanilla Ice Cream', 'Strawberry Ice Cream', 'Pista Ice Cream', 'Butterscotch Ice Cream', 'Chocolate Ice Cream', 'Blackcurrant Ice Cream', 'Tutti Fruitti Ice Cream', 'Mango Ice Cream', 'Kesar Pista Ice Cream', 'Love Bird Ice Cream', 'Birthday Special Ice Cream', 'My Favorite Ice Cream', 'Lover Special Ice Cream', 'Rose Falooda', 'Kesar Falooda', 'Special Falooda', 'Royal Falooda', 'Sweet Lassi', 'Salt Lassi', 'Special Lassi', 'Banana Lassi', 'Fruit Lassi', 'Mango Lassi', 'Mosambi Juice', 'Orange Juice', 'Pineapple Juice', 'Grape Juice', 'Watermelon Juice', 'Apple Juice', 'Cocktail', 'Ganga Jamuna', 'Pomegranate Juice', 'Muskmelon Juice', 'Papaya Juice', 'Fresh Lime with Soda', 'Fresh Lime Juice', 'Mushambi Solid', 'Salid Orange Juice', 'Rose Milkshake', 'Chikoo Milkshake', 'Butter Fruit Milkshake', 'Apple Milkshake', 'Banana Milkshake', 'Sapota Milkshake', 'Strawberry Milkshake', 'Chocolate Milkshake', 'Pista Milkshake', 'Vanilla Milkshake', 'Mango Milkshake', 'Dry Fruits Milkshake', 'Dates Milkshake', 'Papaya Milkshake', 'Anjeer Milkshake', 'Badam Milkshake', 'Kesar Milkshake', 'Musk Melon Milkshake', 'Pomegranate Milkshake', 'Cold Badam Milk', 'Cold Coffee', 'Cut Fruits', 'Butterscocth Milkshake', 'Tea', 'Coffee', 'Lemon Tea', 'Ginger Tea']",Delivery,Banashankari
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai","1,200",[],Delivery,Banashankari
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,[],Delivery,Banashankari
Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250,"['Gobi Manchurian', 'French Fries', 'Margherita Pizza', '3 Veg Topping Pizza', 'Roasted Chicken Pizza', 'Veg Sweet and Sour Soup', 'Veg Sweet Corn Soup', 'Veg Hot and Sour Soup', 'Veg Manchow Soup', 'Cream of Veg Soup', 'Cream of Corn Soup', 'Cream of Mushroom Soup', 'Chicken Sweet and Sour Soup', 'Chicken Sweet Corn Soup', 'Chicken Hot and Sour Soup', 'Chicken Manchow Soup', 'Cream of Chicken Soup', 'Russian Salad', 'Pasta Salad', 'Green Salad', 'Greek Feta Cheese Salad', 'Watermelon Feta Cheese Salad', 'Gobi Manchurian', 'Baby Corn Manchurian', 'Mushroom Manchurian', 'Cheese Corn Nuggets [6 Pieces]', 'Veg Garlic Finger [6 Pieces]', 'Paneer Manchurian', 'Chicken Nuggets [6 Pieces]', 'Schezwan Chicken Manchurian', 'Barbeque Chicken Wings [5 Pieces]', 'Chicken Manchurian', 'Egg Bhurji [2 Egg]', 'Veg Fried Rice', 'Veg Schezwan Fried Rice', 'Veg Shanghai Fried Rice', 'Paneer Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Shanghai Fried Rice', 'Veg Noodles', 'Paneer Noodles', 'Egg Noodles', 'Chicken Noodles', 'Margherita Pizza', 'Corn Pizza', 'Onion Pizza', 'Capsicum Pizza', '3 Veg Topping Pizza', 'Paneer Tikka Pizza', 'Roasted Chicken Pizza', 'Barbeque Chicken Pizza', 'Pepperoni Chicken Pizza', 'Sausage Chicken Pizza', 'Chicken Tikka Pizza', 'Veg Alfredo Pasta', 'Veg Arrabiata Pasta', 'Veg Mixed White Sauce Pasta', 'Veg Mixed Red Sauce Pasta', 'Chicken Alfredo Pasta', 'Chicken Arrabiata Pasta', 'Chicken Mixed Red Sauce Pasta', 'Aloo Burger', 'Veg Burger', 'Egg Burger', 'Veg Sandwich', 'Corn and Cheese Sandwich', 'Egg Sandwich', 'Chicken Sandwich', 'Veg Masala Maggi', 'Veg Cheese Maggi', 'Veg Alfredo Maggi', 'Veg Mixed Maggi', 'Chicken Masala Maggi', 'Chicken Cheese Maggi', 'Chicken Alfredo Maggi', 'Chicken Mixed Maggi', 'French Fries', 'Plain Garlic Bread', 'Cheese Garlic Bread', 'Cheese and Salsa Nachos', 'Cheese and Veg Garlic Bread', 'Bread Omelette [2 Egg]', 'Cheese Omelette [2 Egg]', 'Masala Omelette [2 Egg]', 'Caramel Custard', 'Brownie', 'Pineapple Juice', 'Mosambi Juice', 'Watermelon Juice', 'Buttermilk', 'Papaya Milk', 'Pineapple Mint Punch Mocktail', 'Nimbu Shikanji Mocktail', 'Pudina Khatta Meetha Mocktail', 'Lime and Mint Mocktail', 'Blue Logan Mocktail', 'Strawberry Lemonade Mocktail', 'Niagara Mocktail', 'Lemon Ice Tea Mocktail', 'Peach Ice Tea Mocktail', 'Litchi Tini Cocktail', 'Green Apple Lemonade Mocktail']",Delivery,Banashankari
Shree Mandarathi Grand,Yes,No,3.7,38,Uttarahalli,Casual Dining,"South Indian, North Indian",400,"['Pepper Masala Dosa', 'Chees Masala Dosa', 'Kesari Bath', 'Idli [2 Pieces]', 'Idly Vada', 'Single Idly Vada', 'Vada [1 Piece]', 'Rava Idly', 'Poori Sagu', 'Rice Bath', 'Masala Dosa', 'Plain Dosa', 'Set Dosa', 'Onion Dosa', 'Butter Plain Dosa', 'Butter Masala Dosa', 'Pepper Plain Dosa', 'Pepper Masala Dosa', 'Rava Dosa', 'Rava Masala Dosa', 'Rava Onion Dosa', 'Chees Masala Dosa', 'Special Dosa', 'Coffee', 'Tea', 'Milk', 'Hot Badam Milk', 'Horlicks']",Delivery,Banashankari
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Delivery,Pizza,600,[],Delivery,Banashankari
Iceberg Icecreams,Yes,No,4.0,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,[],Delivery,Banashankari
South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,South Indian,100,"['Idli [2 Pieces]', 'Vada [2 Pieces]', 'Savige Bhath', 'Avalakki Bhath', 'Upittu', 'Idli [2 Pieces]', 'Vada [2 Pieces]', 'Kara Bhath', 'Sweet Bhath', 'Navane Bhath', 'Savige Bhath', 'Avalakki Bhath', 'Upittu', 'Jamoon [2 Pieces]']",Delivery,Banashankari
Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,[],Delivery,Banashankari
Shanthi Sagar,Yes,No,3.1,28,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400,"['Idli', 'Idli Vada [1]', 'Rice Bath', 'Masala Dosa', 'Butter Masala Dosa', 'Idli', 'Rava Idli', 'Vada', 'Idli Vada [1]', 'Idli Vada [2]', 'Khara Bath', 'Kesari Bath', 'Chow Chow Bath', 'Rice Bath', 'Curd Vada', 'Poori', 'Bonda Soup', 'Bajji', 'Pakoda', 'Tattle Idli', 'Parotta', 'Plain Dosa', 'Masala Dosa', 'Onion Dosa', 'Rava Dosa', 'Paper Plain Dosa', 'Paper Masala Dosa', 'Butter Masala Dosa', 'Set Dosa', 'Rava Onion Dosa', 'Rava Onion Masala Dosa', 'Cheese Plain Dosa', 'Cheese Masala Dosa', 'Spring Dosa', 'Open Dosa', 'Buttter Open Dosa', 'Kali Dosa', 'Family Masala Dosa', 'Family Plain Dosa', 'Coffee', 'Tea', 'Milk', 'Badam Milk', 'Shunti Coffee', 'Lime Tea', 'Holicks', 'Bournvita']",Delivery,Banashankari
Millet Mama,Yes,No,3.9,18,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200,[],Delivery,Banashankari
Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",100,[],Delivery,Banashankari
Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,Casual Dining,South Indian,400,[],Delivery,Banashankari
Java City,Yes,No,2.6,157,Jayanagar,Cafe,"Cafe, American, Pizza",450,[],Delivery,Banashankari
Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,Quick Bites,"South Indian, Fast Food",300,"['Idly Combo [Serves 2]', 'Set Dosa Combo [Serves 2]', 'Masala Dosa Combo [Serves 2]', '2 Idli with Vada Combo [Serves 1]', 'Masala Dosa with Chutney Combo [Serves 1]', 'Rava Dosa Combo [Serves 1]']",Delivery,Banashankari
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,[],Delivery,Banashankari
Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Quick Bites,South Indian,100,"['Puliyogare', 'Sakkar Pongal', '2 Idli', 'Vada', 'Saijige', 'Medu Dosa', 'Ragi Dosa', 'Mini Idli Sambar', 'Pongal', 'Curd', 'Puliyogare', 'Sakkar Pongal']",Delivery,Banashankari
Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400,"['South Indian Combo', 'Chow Chow Bath', 'Schezwan Masala Dosa', 'Schezwan Paneer Dosa', 'Cheese Dosa', 'Cheese Chilly Dosa', 'Schezwan Cheese Dosa', 'South Indian Combo', 'Idly [1 Piece]', 'Vada [1 Piece]', 'Podi Idly [1 Piece]', 'Rava Idly [1 Piece]', 'Kesari Bath', 'Khara Bath', 'Chow Chow Bath', 'Ghee Pongal', 'Masala Dosa', 'Set Dosa', 'Podi Dosa', 'Onion Uttapam', 'Onion Dosa', 'Schezwan Masala Dosa', 'Schezwan Paneer Dosa', 'Cheese Dosa', 'Cheese Chilly Dosa', 'Schezwan Cheese Dosa']",Delivery,Banashankari
Rustic Stove,Yes,No,3.8,577,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,[],Delivery,Banashankari
Udupi Ruchi Grand,Yes,No,4.2,60,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,"['2 Idli', 'Uddina Vada', 'Poori Kurma', 'Chow Chow Bath', 'Set Dosa', 'Masala Dosa', 'Butter Masala Dosa', 'Onion Uttapam', 'Paper Masala Dosa', 'Breakfast Combo', '2 Idli', 'Uddina Vada', 'Kharabath', 'Poori Kurma', 'Chow Chow Bath', 'Pongal', 'Bisibele Bath', 'Coffee', 'Tea', 'Badam Milk', 'Breakfast Combo', 'Set Dosa', 'Masala Dosa', 'Plain Dosa', 'Butter Masala Dosa', 'Butter Plain dosa', 'Onion Uttapam', 'Open Butter Masala Dosa', 'Paper Masala Dosa']",Delivery,Banashankari
De Thaali,Yes,No,3.9,144,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls",550,[],Delivery,Banashankari
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,[],Delivery,Banashankari
Just Thindi,Yes,No,3.6,16,Basavanagudi,Quick Bites,South Indian,200,"['Vada', 'Idly [2 Pieces]', 'Masala Dosa', 'Khali Dosa [2 Pieces]', 'Rice Bath', 'Vada', 'Idly [2 Pieces]', 'Khara Bath', 'Kesari Bath', 'Masala Dosa', 'Khali Dosa [2 Pieces]', 'Plain Dosa', 'Rice Bath']",Delivery,Banashankari
Matru Sagar,Yes,No,3.6,84,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250,"['2 Idli', 'Vada', 'Paper Masala Dosa', 'Onion Dosa', 'Rava Onion Dosa', 'Rava Masala Dosa', 'Rava Onion Masala Dosa', '2 Idli', 'Vada', 'Idli with Vada', '2 Idli with Vada', 'Rava Idli', 'Plain Dosa', 'Masala Dosa', 'Paper Plain Dosa', 'Paper Masala Dosa', 'Butter Masala Dosa', 'Set Dosa', 'Kali Dosa', '2 Kali Dosa', 'Open Dosa', 'Onion Dosa', 'Rava Dosa', 'Rava Onion Dosa', 'Rava Masala Dosa', 'Rava Onion Masala Dosa', 'Puri Kurma', 'Khara Bath', 'Chow Chow Bath', 'Mangalore Buns', 'Curd Vada', 'Jamun', 'Chiroti', 'Kesari Bath', 'Mini Coffee', 'Mini Tea', 'Badami Milk', 'Lemon Tea', 'Green Tea']",Delivery,Banashankari
Vasanth Vihar - Since 1965,Yes,No,3.6,95,Banashankari,Quick Bites,"South Indian, Street Food",150,"['Morning Mix Bath Combo', 'Morning Mini Combo', 'Morning Jumbo Combo', 'Paper Dosa', 'Morning Mix Bath Combo', 'Morning Mini Combo', 'Morning Jumbo Combo', 'Idly(1)', 'Vada(1)', 'Karabath', 'Button Idly (8 Pcs)', 'Masala Dosa', 'Butter Dosa', 'Onion Dosa', 'Set Dosa', 'Topi Dosa', 'Butter Kali Dosa', 'Paper Dosa', 'Open Pudi Dosa', 'Ghee Roast Dosa', 'Steam Dosa', 'Chocolate Dosa', 'Kidz Dosa', 'Kesari Bath', 'Wheat Pongal', 'Kotte Kadubu [1 Piece]', 'Thatte Idly [1 Piece]', 'Millet Bele Bath', 'Kidz Dosa', 'Chocolate Dosa', 'Steam Dosa', 'Butter Dosa', 'Protein Malt', 'Button Idly [8 Pieces]', 'Millet Belebath', 'Coffee', 'Tea', 'Mineral Water', 'Extra Playa(Aloo Sabzi)', 'Extra Chutney(250gms)', 'Butter']",Delivery,Banashankari
Sea Spice by 7 Star,Yes,Yes,4.0,349,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200",[],Delivery,Banashankari
Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,Quick Bites,"North Indian, Fast Food",400,[],Delivery,Banashankari
Cafe Aira,Yes,No,4.1,216,Basavanagudi,Cafe,"Cafe, Continental, Beverages, Desserts",500,[],Delivery,Banashankari
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700,[],Delivery,Banashankari
South Grand,Yes,No,3.4,102,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese, Beverages",400,"['Butter Masala Dosa', 'Poori [3 Pieces]', 'Mangalore Buns', '2 Cup Idly', '2 Idly 1 Vada', 'Single Idly Vada', '2 Idli', 'Rava Idli', 'Vada', 'Curd Vada', 'Thatte Idli', 'Khara Bhath', 'Bisi Bele Bhath', 'Pongal', 'Kesari Bhath', 'Chow Chow Bhath', 'Akki Rotti', 'Ragi Dosa', 'Mallige Dosa', 'Cheese Masala Dosa', 'Butter Plain Dosa', 'Plain Dosa', 'Onion Dosa', 'Rava Dosa', 'Paper Plain Dosa', 'Paper Masala Dosa', 'Butter Masala Dosa', 'Rava Onion Dosa', 'Cheese Plain Dosa', 'Open Dosa', 'Poori [3 Pieces]', 'Coffee', 'Tea', 'Milk', 'Hot Badam Milk', 'Horlicks', 'Bournvita', 'Shunti Coffee', 'Lemon Tea']",Delivery,Banashankari
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,[],Delivery,Banashankari
The Pizzeria,Yes,No,2.8,45,Banashankari,Casual Dining,"Pizza, Italian, Salad",800,[],Delivery,Banashankari
Cafe Zone,Yes,No,3.9,149,Kumaraswamy Layout,Quick Bites,"Fast Food, Chinese, Rolls",300,[],Delivery,Banashankari
Ruchis Point,Yes,No,3.8,75,Banashankari,Quick Bites,"Fast Food, Chinese",200,[],Delivery,Banashankari
Firangi Bake,Yes,No,4.0,53,Rajarajeshwari Nagar,Delivery,"Mexican, Italian",600,[],Delivery,Banashankari
The Royal Corner - Pai Viceroy,Yes,Yes,4.2,815,Jayanagar,Casual Dining,"North Indian, Chinese",900,[],Delivery,Banashankari
Hara Fine Dine,Yes,Yes,4.0,633,Banashankari,Casual Dining,"North Indian, Chinese",800,[],Delivery,Banashankari
Chocoberry,Yes,No,3.5,56,Jayanagar,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,[],Delivery,Banashankari
Dakshin Grand,Yes,No,3.0,82,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,"['Rava Masala Dosa', 'Paper Masala Dosa', 'Set Dosa', 'Rava Dosa', 'Plain Dosa', 'Open Dosa', 'Onion Dosa', 'Masala Dosa', 'Medhu Dosa', 'Butter Plain Dosa', 'Rava Onion Dosa', 'Rava Masala Dosa', 'Paper Plain Dosa', 'Butter Masala Dosa', 'Paper Masala Dosa']",Delivery,Banashankari
Sandwichwallas,Yes,No,3.7,35,Jayanagar,Quick Bites,Fast Food,200,[],Delivery,Banashankari
