name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),rating_votes_score,cuisine_category,rest_type_category,first_cuisine_category
Gelato Italiano,Yes,No,3.0,40.0,Brigade Road,Dessert Parlor,"Ice Cream, Bakery, Desserts",200.0,Delivery,Brigade Road,120.0,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
OCEA HOTEL,Yes,No,3.7,279.0,Brigade Road,Casual Dining,"North Indian, Chinese, Seafood",800.0,Delivery,Brigade Road,1032.3,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Vietnamese Kitchen,Yes,Yes,4.1,523.0,Indiranagar,Casual Dining,"Chinese, Vietnamese, Momos, Thai",800.0,Delivery,Brigade Road,2144.2999999999997,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
L'inoui,Yes,No,4.1,33.0,Cunningham Road,Dessert Parlor,Desserts,400.0,Delivery,Brigade Road,135.29999999999998,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Troll,Yes,No,3.8,102.0,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300.0,Delivery,Brigade Road,387.59999999999997,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Bhavani Sri,Yes,No,3.0,110.0,Indiranagar,Casual Dining,"Andhra, Biryani, Seafood",700.0,Delivery,Brigade Road,330.0,Biryani & Andhra Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Meaza Ginger Multi Cuisine Restaurant,Yes,No,3.6,91.0,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian, Kerala",550.0,,,327.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Mamma Mexicana,Yes,Yes,2.2,406.0,MG Road,Casual Dining,Mexican,1000.0,Delivery,Brigade Road,893.2,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
The Jungle Terrace,Yes,No,3.5,13.0,Brigade Road,Casual Dining,"Continental, Mexican, Lebanese",600.0,Delivery,Brigade Road,45.5,Continental & Cafe Culture,Casual Dining & Bar,Continental & Cafe Culture
Roll Junction,Yes,No,2.9,56.0,Cunningham Road,Quick Bites,"Fast Food, Rolls",150.0,Delivery,Brigade Road,162.4,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Chutney Chang,Yes,Yes,4.2,4732.0,Church Street,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Delivery,Brigade Road,19874.4,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Amritsari Kulcha Bite,Yes,No,3.9,101.0,Ulsoor,Quick Bites,North Indian,150.0,Delivery,Brigade Road,393.9,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Delices,Yes,No,3.1,6.0,Ulsoor,Bakery,"Bakery, Desserts",400.0,Delivery,Brigade Road,18.6,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Meenu Oota Da Maane,Yes,No,3.2,23.0,Brigade Road,Casual Dining,"Seafood, Mangalorean, Chinese",700.0,Delivery,Brigade Road,73.60000000000001,Chinese & Pan-Asian Delights,Casual Dining & Bar,Seafood & Coastal Flavors
Gobble Up Churros Cafe,Yes,No,3.8,37.0,Ulsoor,Casual Dining,"Beverages, Cafe, Desserts, Spanish, Bakery",400.0,Delivery,Brigade Road,140.6,Continental & Cafe Culture,Casual Dining & Bar,Desserts & Sweets
Tempura Restaurant,No,No,3.9,122.0,Brigade Road,Casual Dining,"Japanese, Chinese, Tibetan, Momos",500.0,Delivery,Brigade Road,475.8,Chinese & Pan-Asian Delights,Casual Dining & Bar,Global Fusion & Others
Choi Choi Momos,No,No,3.8,29.0,Brigade Road,Kiosk,"Chinese, Fast Food, Momos",300.0,Delivery,Brigade Road,110.19999999999999,Chinese & Pan-Asian Delights,Others,Chinese & Pan-Asian Delights
Shalimar,Yes,No,4.0,153.0,Indiranagar,Casual Dining,"North Indian, Chinese, Seafood",700.0,Delivery,Brigade Road,612.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Deshi Fusion Pizza,Yes,No,3.3,73.0,Old Madras Road,Delivery,"Pizza, Chinese, Rolls",750.0,,,240.89999999999998,Chinese & Pan-Asian Delights,Delivery Only,Street Food & Snacks
Indira Darshini,Yes,No,3.6,27.0,Frazer Town,Quick Bites,"South Indian, Chinese",200.0,Delivery,Brigade Road,97.2,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Aagaman Veg,Yes,No,4.0,558.0,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",900.0,Delivery,Brigade Road,2232.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Salt Mango Tree,Yes,Yes,4.1,247.0,Indiranagar,Casual Dining,Kerala,800.0,Delivery,Brigade Road,1012.6999999999999,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
MISU,Yes,Yes,4.6,1211.0,St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0,,,5570.599999999999,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
RockSalt,Yes,Yes,4.4,484.0,St. Marks Road,"Bar, Casual Dining",Modern Indian,1900.0,,,2129.6000000000004,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
The Rice Bowl,Yes,Yes,4.3,500.0,Lavelle Road,"Casual Dining, Bar","Chinese, Momos",1300.0,Delivery,Brigade Road,2150.0,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
South Inn,Yes,No,3.1,24.0,Frazer Town,Quick Bites,South Indian,150.0,Delivery,Brigade Road,74.4,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Pathy's Kitchen,Yes,No,3.5,21.0,Indiranagar,Quick Bites,Andhra,500.0,Delivery,Brigade Road,73.5,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Happy Fillings,Yes,No,3.4,8.0,Ulsoor,Quick Bites,Chinese,300.0,Delivery,Brigade Road,27.2,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
Rotti Mane,Yes,No,3.4,11.0,Domlur,Quick Bites,South Indian,200.0,Delivery,Brigade Road,37.4,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Shezan,Yes,No,4.1,391.0,Cunningham Road,Casual Dining,"Chinese, Continental, North Indian, Mughlai, Steak",600.0,Delivery,Brigade Road,1603.1,North Indian & Mughlai Cuisine,Casual Dining & Bar,Chinese & Pan-Asian Delights
Oye Amritsar,Yes,Yes,4.1,450.0,Church Street,Casual Dining,North Indian,1000.0,Delivery,Brigade Road,1844.9999999999998,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Croons,No,No,3.8,26.0,Brigade Road,Dessert Parlor,Desserts,350.0,Delivery,Brigade Road,98.8,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
MiniMelts,No,No,3.9,66.0,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,Brigade Road,257.4,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Tandoor,Yes,Yes,3.9,1361.0,MG Road,Fine Dining,North Indian,2100.0,Delivery,Brigade Road,5307.9,North Indian & Mughlai Cuisine,Fine Dining,North Indian & Mughlai Cuisine
Feast India Co.,Yes,No,4.2,133.0,Cunningham Road,Casual Dining,"Awadhi, Bengali, North Indian",1500.0,Delivery,Brigade Road,558.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,Global Fusion & Others
Hotel Green Tara,No,No,3.9,39.0,Brigade Road,Casual Dining,"Chinese, Tibetan, Momos",500.0,Delivery,Brigade Road,152.1,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
The Biere Club,Yes,Yes,4.3,3484.0,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food",1700.0,,,14981.199999999999,Continental & Cafe Culture,Others,Continental & Cafe Culture
Bangalore Mandarin,Yes,No,4.2,974.0,Indiranagar,Casual Dining,"Chinese, Seafood",1100.0,Delivery,Brigade Road,4090.8,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Rolls On Wheels,No,No,3.5,45.0,Brigade Road,Quick Bites,"Fast Food, Rolls, Momos",300.0,Delivery,Brigade Road,157.5,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Mahesh Lunch Home,Yes,Yes,4.1,860.0,Residency Road,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",1400.0,Delivery,Brigade Road,3525.9999999999995,North Indian & Mughlai Cuisine,Casual Dining & Bar,Seafood & Coastal Flavors
Bheema's,Yes,No,4.0,779.0,Church Street,Casual Dining,Andhra,650.0,Delivery,Brigade Road,3116.0,Biryani & Andhra Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Hatti Punjab Di,No,No,3.4,8.0,Brigade Road,Quick Bites,North Indian,450.0,Delivery,Brigade Road,27.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Dine In,No,No,3.6,8.0,Brigade Road,Quick Bites,"Kerala, South Indian, North Indian, Chinese",400.0,Delivery,Brigade Road,28.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Global Fusion & Others
Chung Wah,Yes,No,4.0,360.0,Residency Road,Casual Dining,"Chinese, Thai, Momos, Vietnamese",1000.0,Delivery,Brigade Road,1440.0,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Mad Over Biryani,Yes,No,2.9,17.0,Church Street,Quick Bites,"Biryani, North Indian",600.0,Delivery,Brigade Road,49.3,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Danny Lambas Punjabi Dhaba,Yes,No,3.5,98.0,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani",600.0,Delivery,Brigade Road,343.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Shiv Sager,No,No,3.0,10.0,Brigade Road,Food Court,"South Indian, North Indian, Chinese",200.0,Delivery,Brigade Road,30.0,North Indian & Mughlai Cuisine,Food Court & Lounge,South Indian Traditional
The Charcoal Factory,Yes,No,4.1,290.0,Koramangala 6th Block,Quick Bites,"Burger, Pizza, Momos",600.0,Delivery,Brigade Road,1189.0,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Chung's Chinese Corner,Yes,No,3.3,201.0,Cunningham Road,Casual Dining,Chinese,700.0,Delivery,Brigade Road,663.3,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Kenny's Restaurant,Yes,No,3.6,31.0,Frazer Town,Quick Bites,"Chinese, North Indian",450.0,Delivery,Brigade Road,111.60000000000001,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
Fat Buddha,Yes,Yes,4.0,455.0,Cunningham Road,Casual Dining,"Chinese, Thai",1000.0,Delivery,Brigade Road,1820.0,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Teppan Japanese Grill & Sushi Bar,Yes,No,4.3,901.0,Ulsoor,Casual Dining,Japanese,2000.0,Delivery,Brigade Road,3874.2999999999997,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
New Prashanth Hotel,Yes,No,3.7,50.0,Majestic,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0,Delivery,Brigade Road,185.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
Midnight Eats,Yes,No,3.0,114.0,Frazer Town,Delivery,"North Indian, Chinese",500.0,Delivery,Brigade Road,342.0,North Indian & Mughlai Cuisine,Delivery Only,North Indian & Mughlai Cuisine
The Only Place,Yes,Yes,4.2,2923.0,Church Street,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad",1000.0,,,12276.6,Continental & Cafe Culture,Casual Dining & Bar,Continental & Cafe Culture
Anupam's Coast II Coast,Yes,Yes,4.1,853.0,Church Street,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",1400.0,Delivery,Brigade Road,3497.2999999999997,North Indian & Mughlai Cuisine,Casual Dining & Bar,Seafood & Coastal Flavors
BabaYaga's,Yes,Yes,4.1,207.0,Indiranagar,"Bar, Casual Dining","American, Finger Food",1500.0,,,848.6999999999999,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
Venkateshwara Foods,Yes,No,3.0,13.0,Residency Road,"Takeaway, Delivery","Street Food, South Indian",400.0,Delivery,Brigade Road,39.0,South Indian Traditional,Quick Bites & Takeaway,Street Food & Snacks
Ramana's,Yes,Yes,4.0,378.0,Cunningham Road,Casual Dining,"North Indian, Chinese, Healthy Food",850.0,Delivery,Brigade Road,1512.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
McLeans Italian Pizzeria,Yes,No,3.4,30.0,Ejipura,Delivery,"American, Pizza",500.0,Delivery,Brigade Road,102.0,Street Food & Snacks,Delivery Only,Global Fusion & Others
The Konkan - Seafood Restaurant,Yes,Yes,4.4,218.0,St. Marks Road,Casual Dining,"Seafood, Konkan, Mangalorean",850.0,Delivery,Brigade Road,959.2,Seafood & Coastal Flavors,Casual Dining & Bar,Seafood & Coastal Flavors
Hotel Tom's Restaurant,Yes,Yes,4.4,712.0,Richmond Road,Casual Dining,"Mangalorean, Seafood, Chinese, North Indian",1000.0,,,3132.8,North Indian & Mughlai Cuisine,Casual Dining & Bar,Global Fusion & Others
The Bong,Yes,No,3.1,38.0,Frazer Town,Quick Bites,"Bengali, North Indian",300.0,Delivery,Brigade Road,117.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Global Fusion & Others
Fujan,Yes,No,3.6,54.0,Frazer Town,Casual Dining,"Chinese, Thai, Seafood",600.0,Delivery,Brigade Road,194.4,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Raaga,Yes,Yes,3.8,297.0,Indiranagar,Casual Dining,"North Indian, Chinese, Continental",1200.0,Delivery,Brigade Road,1128.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
The Food Dude,Yes,No,4.0,176.0,Koramangala 6th Block,Delivery,"Fast Food, Burger, Sandwich, Pizza",300.0,Delivery,Brigade Road,704.0,Street Food & Snacks,Delivery Only,Street Food & Snacks
Lazio Steaks & More,Yes,No,3.9,118.0,Frazer Town,Casual Dining,"Continental, Chinese, Steak",1000.0,Delivery,Brigade Road,460.2,Chinese & Pan-Asian Delights,Casual Dining & Bar,Continental & Cafe Culture
The Humming Tree,Yes,No,4.0,2418.0,Indiranagar,Lounge,"Fast Food, European",1400.0,Delivery,Brigade Road,9672.0,Street Food & Snacks,Food Court & Lounge,Street Food & Snacks
Woodstok,Yes,Yes,4.1,1053.0,Indiranagar,"Takeaway, Delivery","Continental, Italian, Steak, American",1400.0,Delivery,Brigade Road,4317.299999999999,Continental & Cafe Culture,Quick Bites & Takeaway,Continental & Cafe Culture
ASEAN - On The Edge,Yes,Yes,4.4,861.0,MG Road,Casual Dining,"Asian, Thai",1800.0,Delivery,Brigade Road,3788.4,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Chung Shan Chinese Restaurant,Yes,No,3.7,32.0,Ejipura,Quick Bites,"Chinese, Momos",500.0,Delivery,Brigade Road,118.4,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
Monsoon Express,Yes,No,3.4,7.0,MG Road,"Takeaway, Delivery","Continental, Thai, North Indian",1600.0,Delivery,Brigade Road,23.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Continental & Cafe Culture
Friends Night Kitchen,Yes,No,3.8,109.0,Koramangala 6th Block,"Takeaway, Delivery","Italian, Pizza",400.0,,,414.2,Street Food & Snacks,Quick Bites & Takeaway,Continental & Cafe Culture
Navab's,Yes,No,3.6,10.0,Frazer Town,Delivery,Mughlai,600.0,Delivery,Brigade Road,36.0,North Indian & Mughlai Cuisine,Delivery Only,North Indian & Mughlai Cuisine
Marathi Biriyani House,Yes,No,3.3,6.0,Frazer Town,Quick Bites,"South Indian, Biryani",300.0,Delivery,Brigade Road,19.799999999999997,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Retro Lounge Bar,No,Yes,3.8,108.0,Ulsoor,Bar,"North Indian, Chinese",1400.0,Delivery,Brigade Road,410.4,North Indian & Mughlai Cuisine,Others,North Indian & Mughlai Cuisine
Kick Out the Jams,Yes,No,4.0,528.0,Ejipura,Delivery,"Burger, American, Italian",350.0,Delivery,Brigade Road,2112.0,Street Food & Snacks,Delivery Only,Street Food & Snacks
Xian,Yes,Yes,3.8,81.0,Ulsoor,Casual Dining,"Chinese, Thai",800.0,Delivery,Brigade Road,307.8,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Kulfi Point,No,No,3.4,5.0,Indiranagar,Dessert Parlor,Desserts,150.0,Delivery,Brigade Road,17.0,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
8 Slice,Yes,No,3.7,74.0,Koramangala 6th Block,Delivery,Pizza,600.0,Delivery,Brigade Road,273.8,Street Food & Snacks,Delivery Only,Street Food & Snacks
Crescent Avenue - Hotel Bangalore International,Yes,No,3.6,41.0,Race Course Road,Casual Dining,"North Indian, Continental, Chinese, Asian, Thai",1400.0,Delivery,Brigade Road,147.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
New Kudla Family Resturant,Yes,No,3.2,4.0,MG Road,Quick Bites,"North Indian, Chinese",450.0,Delivery,Brigade Road,12.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Mummy Dhaba,Yes,No,3.2,46.0,Ulsoor,Quick Bites,North Indian,300.0,Delivery,Brigade Road,147.20000000000002,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Benjarong,Yes,No,4.2,858.0,Ulsoor,Casual Dining,"Thai, Asian",1800.0,Delivery,Brigade Road,3603.6000000000004,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Midnight Hunger Solutions 24/7,Yes,No,2.1,252.0,Indiranagar,Delivery,"North Indian, Mughlai, Chinese",500.0,Delivery,Brigade Road,529.2,North Indian & Mughlai Cuisine,Delivery Only,North Indian & Mughlai Cuisine
Ente Keralam,Yes,No,4.0,1096.0,Ulsoor,Casual Dining,"Kerala, Seafood",1300.0,Delivery,Brigade Road,4384.0,Seafood & Coastal Flavors,Casual Dining & Bar,Global Fusion & Others
Donne Biryani Mane,Yes,No,3.2,7.0,Wilson Garden,Quick Bites,Biryani,300.0,Delivery,Brigade Road,22.400000000000002,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Nagarjuna,No,No,4.3,1773.0,Residency Road,Casual Dining,"Andhra, Biryani",800.0,,,7623.9,Biryani & Andhra Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Sunny's,No,Yes,4.1,1327.0,Lavelle Road,"Casual Dining, Bar","European, Italian, Seafood, Continental",2100.0,Delivery,Brigade Road,5440.7,Continental & Cafe Culture,Casual Dining & Bar,Global Fusion & Others
Little Chef,No,No,4.0,101.0,Richmond Road,Casual Dining,Chinese,550.0,Delivery,Brigade Road,404.0,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Rawal Jalebi,Yes,No,3.5,10.0,Commercial Street,Dessert Parlor,Desserts,100.0,Delivery,Brigade Road,35.0,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Gundappa Donne Biryani,No,No,3.7,160.0,St. Marks Road,Quick Bites,Biryani,300.0,Delivery,Brigade Road,592.0,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Nandhini Paradise,No,Yes,3.6,277.0,St. Marks Road,"Casual Dining, Bar","Andhra, Chinese, North Indian",800.0,Delivery,Brigade Road,997.2,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Aathithya,No,No,3.1,16.0,Infantry Road,Casual Dining,"North Indian, Continental, Chinese",1100.0,Delivery,Brigade Road,49.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Nagashree's,No,No,2.9,46.0,Shanti Nagar,Casual Dining,"South Indian, North Indian, Fast Food",550.0,Delivery,Brigade Road,133.4,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
Express Food Delivery,No,No,2.8,38.0,Ulsoor,Delivery,"North Indian, Chinese",500.0,Delivery,Brigade Road,106.39999999999999,North Indian & Mughlai Cuisine,Delivery Only,North Indian & Mughlai Cuisine
Gowdara Naati Mane,No,No,3.4,7.0,Residency Road,Quick Bites,"South Indian, Biryani, Mangalorean",500.0,Delivery,Brigade Road,23.8,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Kamat's Palate Korner,No,No,4.1,121.0,Richmond Road,Casual Dining,"North Indian, Chinese",600.0,Delivery,Brigade Road,496.09999999999997,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Bhagini Icon Boutique Hotel,Yes,No,3.1,6.0,Indiranagar,Casual Dining,"South Indian, North Indian, Continental",600.0,Delivery,Brigade Road,18.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
Kaulige Millet Corner,Yes,No,4.0,32.0,Brigade Road,Quick Bites,"Healthy Food, South Indian",300.0,Delivery,Brigade Road,128.0,South Indian Traditional,Quick Bites & Takeaway,Global Fusion & Others
Ice & Spice,Yes,No,3.0,96.0,Frazer Town,"Takeaway, Delivery","Continental, Pizza, Fast Food",650.0,Delivery,Brigade Road,288.0,Street Food & Snacks,Quick Bites & Takeaway,Continental & Cafe Culture
Homemade Food,Yes,No,3.8,24.0,Indiranagar,Takeaway,South Indian,200.0,Delivery,Brigade Road,91.19999999999999,South Indian Traditional,Others,South Indian Traditional
In Wok,Yes,No,3.6,118.0,Richmond Road,Casual Dining,Chinese,500.0,Delivery,Brigade Road,424.8,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Aromas Of South,Yes,No,3.7,46.0,Race Course Road,Casual Dining,South Indian,1000.0,Delivery,Brigade Road,170.20000000000002,South Indian Traditional,Casual Dining & Bar,South Indian Traditional
Allana Kabab,Yes,No,3.3,4.0,Richmond Road,Quick Bites,North Indian,200.0,Delivery,Brigade Road,13.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Home Treat,Yes,No,3.1,7.0,Brigade Road,Quick Bites,North Indian,150.0,Delivery,Brigade Road,21.7,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Manjit Da Dhaba,Yes,No,4.3,783.0,Frazer Town,Quick Bites,North Indian,300.0,Delivery,Brigade Road,3366.8999999999996,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Halli Mane,Yes,No,3.2,5.0,Majestic,Quick Bites,South Indian,300.0,Delivery,Brigade Road,16.0,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Taj Hotel,Yes,No,3.7,111.0,Shivajinagar,Casual Dining,"North Indian, Chinese",550.0,Delivery,Brigade Road,410.70000000000005,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Foody's,Yes,No,3.8,170.0,Shanti Nagar,Quick Bites,"North Indian, South Indian",250.0,Delivery,Brigade Road,646.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Masala Oota,Yes,No,3.6,79.0,Residency Road,Quick Bites,"South Indian, Biryani",500.0,Delivery,Brigade Road,284.40000000000003,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Kadai Crust - Amma Veetu Samayal,Yes,No,3.8,263.0,Indiranagar,"Takeaway, Delivery","Chettinad, South Indian, Biryani",700.0,Delivery,Brigade Road,999.4,South Indian Traditional,Quick Bites & Takeaway,Global Fusion & Others
Juice Shop,Yes,No,3.3,11.0,Brigade Road,Quick Bites,"Street Food, Beverages",200.0,Delivery,Brigade Road,36.3,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Fava,No,Yes,4.4,2039.0,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200.0,,,8971.6,Street Food & Snacks,Casual Dining & Bar,Global Fusion & Others
Amber Rush Restobar,No,Yes,4.1,93.0,Residency Road,Pub,"Continental, Chinese, Fast Food",1000.0,Delivery,Brigade Road,381.29999999999995,Chinese & Pan-Asian Delights,Others,Continental & Cafe Culture
Bootlegger,No,No,4.1,1543.0,Lavelle Road,Pub,"Continental, Steak",1200.0,Delivery,Brigade Road,6326.299999999999,Continental & Cafe Culture,Others,Continental & Cafe Culture
ThrowBack - Pub & Dine,No,No,3.9,234.0,Langford Town,"Bar, Casual Dining","Italian, North Indian, Continental",1000.0,Delivery,Brigade Road,912.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,Continental & Cafe Culture
Shaken & Stirred,Yes,No,3.9,84.0,Race Course Road,"Bar, Casual Dining","Continental, North Indian, Chinese",1500.0,Delivery,Brigade Road,327.59999999999997,North Indian & Mughlai Cuisine,Casual Dining & Bar,Continental & Cafe Culture
Sri Ayodhya Veg,Yes,No,3.6,24.0,Vasanth Nagar,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,Brigade Road,86.4,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,South Indian Traditional
Hotel Fine,Yes,No,3.5,24.0,Vasanth Nagar,Casual Dining,"North Indian, Chinese",450.0,Delivery,Brigade Road,84.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Hyderabad Biryaani House,No,No,4.3,1348.0,Richmond Road,Casual Dining,"Biryani, North Indian, Chinese",550.0,Delivery,Brigade Road,5796.4,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
The Bangalore Cafe,No,Yes,4.1,473.0,Shanti Nagar,Casual Dining,"Modern Indian, North Indian, Pizza, Continental, Beverages",800.0,,,1939.2999999999997,North Indian & Mughlai Cuisine,Casual Dining & Bar,Global Fusion & Others
Sakae Japanese Restaurant,No,Yes,4.3,518.0,Shanti Nagar,Casual Dining,Japanese,1400.0,Delivery,Brigade Road,2227.4,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
Green Onion,No,No,4.3,1187.0,Residency Road,Casual Dining,Chinese,550.0,Delivery,Brigade Road,5104.099999999999,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Art of Delight,No,No,4.4,1896.0,Residency Road,Dessert Parlor,"Ice Cream, Desserts, Beverages",400.0,,,8342.400000000001,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Khazana Food Paradise,No,No,4.1,356.0,Richmond Road,Quick Bites,"North Indian, Biryani",400.0,Delivery,Brigade Road,1459.6,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Mandarin Box,No,No,3.9,80.0,Church Street,Quick Bites,Chinese,500.0,Delivery,Brigade Road,312.0,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
